,License Year,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
0, 1/1,0,3,6,2,2,1,0,1,20,4
1, 1/2,0,1,1,5,0,1,1,0,1,1
2, 1/3,0,1,1,3,1,1,1,0,0,2
3, 1/4,0,1,0,0,1,3,0,0,1,1
4, 1/5,0,0,0,1,1,3,1,0,1,1
5, 1/6,0,1,1,0,1,0,0,0,0,3
6, 1/7,0,3,4,0,0,1,0,0,1,3
7, 1/8,0,2,2,2,2,0,0,1,1,6
8, 1/9,0,0,0,0,2,1,0,0,2,3
9, 1/10,0,0,1,1,0,0,0,0,2,2
10, 1/11,0,1,0,0,2,2,0,0,2,2
11, 1/12,0,2,1,0,2,0,0,0,2,1
12, 1/13,0,1,1,0,0,0,1,0,4,6
13, 1/14,0,3,2,3,1,0,0,1,2,3
14, 1/15,0,3,1,1,1,1,1,3,4,0
15, 1/16,0,0,8,3,2,0,1,0,4,3
16, 1/17,0,0,0,3,0,1,1,0,0,5
17, 1/18,0,0,0,0,6,0,0,0,0,4
18, 1/19,0,0,0,0,0,2,1,0,0,0
19, 1/20,0,0,0,0,0,3,0,0,0,0
20, 1/21,0,0,0,0,0,0,0,0,0,0
21, 1/22,0,0,0,0,0,0,0,0,0,0
22, 1/23,0,0,0,0,0,0,0,0,0,0
23, 1/24,0,0,0,0,0,0,0,0,0,0
24, 1/25,0,0,0,0,0,0,0,0,0,0
25, 1/26,0,0,0,0,0,0,0,0,0,0
26, 1/27,0,0,0,0,0,0,0,0,0,0
27, 1/28,0,0,0,0,0,0,0,0,0,0
28, 1/29,0,0,0,0,0,0,0,0,0,0
29, 1/30,0,0,0,0,0,0,0,0,0,0
30, 1/31,0,0,0,0,0,0,0,0,0,0
31, 11/1,3,0,2,3,2,5,0,0,1,5
32, 11/2,7,5,3,4,4,9,1,0,1,3
33, 11/3,4,3,4,4,2,5,3,2,1,1
34, 11/4,3,8,0,3,4,2,4,3,3,2
35, 11/5,0,4,3,5,2,5,2,1,9,4
36, 11/6,2,4,4,10,4,1,0,0,7,1
37, 11/7,4,3,1,2,2,0,0,1,7,5
38, 11/8,3,1,2,1,4,3,5,2,6,7
39, 11/9,79,5,1,4,0,61,0,0,2,7
40, 11/10,44,7,2,3,1,45,48,3,3,7
41, 11/11,28,93,0,1,0,18,55,53,7,3
42, 11/12,27,65,62,2,3,16,25,30,112,4
43, 11/13,29,36,67,83,4,14,22,19,75,3
44, 11/14,20,28,41,48,71,12,20,16,41,147
45, 11/15,44,18,19,25,31,14,10,12,21,56
46, 11/16,50,18,20,22,27,30,15,17,23,37
47, 11/17,41,13,9,12,27,23,38,15,25,32
48, 11/18,17,30,26,9,23,11,30,15,28,13
49, 11/19,11,25,40,23,21,5,8,17,38,31
50, 11/20,12,7,30,26,27,5,9,16,39,27
51, 11/21,23,11,9,31,31,4,13,1,25,52
52, 11/22,18,15,11,6,21,2,12,1,3,40
53, 11/23,35,8,13,8,10,11,18,1,1,33
54, 11/24,33,15,15,11,8,19,9,0,3,6
55, 11/25,4,21,13,9,8,0,19,1,4,1
56, 11/26,3,16,25,12,10,1,1,1,2,2
57, 11/27,7,3,11,13,6,0,0,0,2,3
58, 11/28,1,2,0,13,15,0,1,2,3,8
59, 11/29,5,3,0,1,14,1,1,0,2,0
60, 11/30,4,0,2,0,1,0,1,0,2,2
61, 12/1,2,1,1,2,3,0,1,2,2,1
62, 12/2,1,1,0,0,1,0,2,2,1,0
63, 12/3,0,4,1,2,3,2,0,1,3,2
64, 12/4,0,0,5,1,1,0,0,0,2,3
65, 12/5,0,0,1,0,2,0,0,0,1,2
66, 12/6,0,0,0,1,0,1,2,0,1,5
67, 12/7,0,1,1,2,1,1,0,0,0,3
68, 12/8,0,0,0,0,0,4,4,2,2,2
69, 12/9,0,0,1,1,0,0,9,4,0,2
70, 12/10,0,5,2,2,1,0,2,3,5,1
71, 12/11,0,1,5,0,2,0,4,0,8,1
72, 12/12,0,1,1,5,2,0,1,0,4,2
73, 12/13,0,1,1,1,1,0,1,2,2,2
74, 12/14,0,2,1,1,1,4,8,2,1,4
75, 12/15,0,18,0,1,4,2,10,6,3,3
76, 12/16,0,12,17,1,2,0,18,12,24,4
77, 12/17,0,21,15,6,1,0,3,23,27,6
78, 12/18,0,0,20,5,4,1,0,0,23,17
79, 12/19,0,0,5,12,15,1,2,0,2,50
80, 12/20,0,0,7,1,11,6,2,0,0,45
81, 12/21,0,2,1,0,2,9,0,1,3,12
82, 12/22,0,0,2,0,1,8,0,0,1,2
83, 12/23,0,0,0,1,0,1,1,0,1,1
84, 12/24,0,0,0,1,1,1,1,0,1,3
85, 12/25,0,0,0,2,1,0,1,1,0,1
86, 12/26,0,1,3,1,5,0,0,0,3,16
87, 12/27,0,0,2,0,4,0,1,1,4,13
88, 12/28,0,3,2,2,0,1,0,2,2,2
89, 12/29,0,0,0,0,1,2,6,0,2,2
90, 12/30,0,7,2,1,1,0,4,5,4,1
91, 12/31,0,5,3,0,0,0,3,7,12,4
92, 10/1,0,2,1,0,1,0,0,4,5,3
93, 10/2,2,0,5,2,2,0,1,0,2,4
94, 10/3,4,0,5,3,0,0,1,1,2,4
95, 10/4,2,0,4,1,3,0,1,3,2,4
96, 10/5,5,0,1,0,1,2,3,0,1,7
97, 10/6,4,1,0,0,3,1,2,1,0,3
98, 10/7,1,3,1,1,4,0,2,0,2,3
99, 10/8,0,0,8,0,1,0,0,0,9,1
100, 10/9,2,2,19,10,2,1,0,0,27,3
101, 10/10,3,2,2,5,9,1,1,2,5,46
102, 10/11,1,3,3,1,16,1,0,1,2,30
103, 10/12,20,0,3,0,1,7,1,0,3,6
104, 10/13,13,2,2,1,2,19,19,0,0,5
105, 10/14,5,26,4,0,0,2,11,3,1,3
106, 10/15,4,16,4,0,1,0,1,8,9,5
107, 10/16,5,1,1,5,1,1,0,1,3,3
108, 10/17,1,5,0,3,5,1,1,0,0,18
109, 10/18,6,1,3,4,4,3,1,0,0,13
110, 10/19,5,2,5,1,1,7,0,0,0,8
111, 10/20,7,4,2,1,0,2,8,2,0,2
112, 10/21,2,10,1,0,0,1,6,2,0,4
113, 10/22,1,7,4,0,0,1,1,1,9,0
114, 10/23,0,3,2,2,0,1,2,2,4,3
115, 10/24,1,1,1,1,1,2,1,0,0,5
116, 10/25,3,3,0,1,2,1,0,0,5,3
117, 10/26,5,0,1,0,0,3,0,3,1,3
118, 10/27,3,1,1,1,4,1,4,1,2,2
119, 10/28,3,2,2,2,1,3,2,0,2,0
120, 10/29,2,3,4,1,0,0,2,2,6,0
121, 10/30,0,1,2,3,4,2,3,1,4,1
122, 10/31,0,5,3,6,6,0,2,0,2,6
123, 9/1,0,0,0,0,0,0,9,0,0,0
124, 9/2,0,7,0,0,0,0,8,10,0,0
125, 9/3,0,6,8,0,0,0,4,8,13,0
126, 9/4,0,7,11,14,0,0,1,4,17,0
127, 9/5,0,3,2,7,6,0,2,1,10,16
128, 9/6,0,0,1,6,5,0,0,0,3,15
129, 9/7,17,4,2,2,5,4,1,3,2,15
130, 9/8,16,0,1,0,1,2,2,3,2,5
131, 9/9,11,3,1,1,1,1,1,4,0,3
132, 9/10,5,0,5,2,1,1,2,1,6,4
133, 9/11,3,3,1,1,0,0,1,2,8,4
134, 9/12,2,0,1,2,3,0,3,2,3,12
135, 9/13,1,0,2,1,0,0,0,0,4,12
136, 9/14,6,1,0,0,3,0,2,0,2,6
137, 9/15,8,2,1,0,1,3,1,4,0,6
138, 9/16,1,2,0,2,0,0,1,2,1,4
139, 9/17,1,0,1,0,1,0,1,2,4,3
140, 9/18,0,2,2,2,0,0,1,1,3,5
141, 9/19,0,1,0,2,7,1,1,1,3,6
142, 9/20,2,1,3,1,2,1,1,0,0,11
143, 9/21,4,1,1,0,1,2,2,1,1,5
144, 9/22,1,0,0,0,1,3,1,0,3,4
145, 9/23,0,4,3,2,3,0,0,0,0,4
146, 9/24,0,2,2,2,2,1,0,0,4,3
147, 9/25,1,2,1,1,4,2,0,1,1,1
148, 9/26,0,0,0,2,2,1,0,0,1,1
149, 9/27,0,0,0,0,1,0,0,0,2,1
150, 9/28,6,4,3,0,0,2,2,0,0,0
151, 9/29,3,0,1,0,3,0,2,0,4,0
152, 9/30,4,2,2,1,1,0,0,1,5,0
